filename,kl_divergence
-M6K3QoHh40.wav,3.9311051
N6YT8_jlt0E.wav,3.9224648
YpOHemscGCk.wav,3.9222884
MSHbLrVlrQc.wav,3.9083247
Es9FNjZ-SHI.wav,3.9050188
PBqNpMpD76k.wav,3.9031682
Gj6etuzTWlQ.wav,3.888044
RVlXLa80vcE.wav,3.8865924
hHb0Eq1I7Fk.wav,3.8845174
OEpMpYMjO9Y.wav,3.8829772
4mtfOkzOvBI.wav,3.8710828
RiqtelZs_2I.wav,3.8703053
16TsDMjHzYU.wav,3.8489864
xuxKtxzq2Cs.wav,3.8438451
IN71kMOAk_k.wav,3.8356292
nZ19mW-TMRk.wav,3.8321424
Zlbo8ygfPSM.wav,3.831623
BGD7J6MP2C8.wav,3.811773
nf3LGAL1LZc.wav,3.8093352
ciJOulWFhfA.wav,3.80116
HWZdPxRzCWs.wav,3.7989392
6vM7Kv42Uv0.wav,3.79653
-Vo4CAMX26U.wav,3.7912498
VjXt63pqUgw.wav,3.7894247
tQ1Nl4Dy2aI.wav,3.7770658
A0XXmVts1y0.wav,3.7769275
BAUQY0e25DM.wav,3.773679
yKx_RFUTPfI.wav,3.7718897
KFB1raoIhoU.wav,3.7655923
gigxzYegRqM.wav,3.7505631
K8On7nUJuP8.wav,3.7388713
J4DrdTy52kg.wav,3.722565
LM2C1eIUX9M.wav,3.7203424
CD3OyaDW348.wav,3.719949
LwmwCpAVPWU.wav,3.7196496
pejDm3j4Y-I.wav,3.717736
ZfSlWX1C8yY.wav,3.7110908
6evOjRxZlHI.wav,3.708209
ZMd8mAKe-k8.wav,3.696544
tYq21a42Mvg.wav,3.6941583
fjj9NJX8GB0.wav,3.6872647
_mQ6KuA2p6k.wav,3.6802526
c4ftOyl3j_Y.wav,3.6736765
IS5V2yjPp3k.wav,3.6631236
awax48X8YlU.wav,3.6593933
9VE1-3q27Qg.wav,3.626971
3w4nFQrUQ8k.wav,3.6268983
mBNdDQamtXA.wav,3.6250467
nvBPPOzcW-A.wav,3.6222262
q9DzO_I4dXg.wav,3.6078165
B1va1NqaA4o.wav,3.6077893
2KGnpMYHBGI.wav,3.6018867
HrxfNVYirCo.wav,3.5970626
bTLgeqCaYMY.wav,3.5953147
Sp1YBy4h9OY.wav,3.5666454
IbaQjxGDT-o.wav,3.55943
UtZofZjccBs.wav,3.5557652
Ail32Z1T4QM.wav,3.5452147
JSLqi_TsMzs.wav,3.5375557
pzm90xLX9HM.wav,3.5227063
WhNun_U3cRU.wav,3.519267
fer_4HvG3aY.wav,3.5164936
fH9CY48sfJY.wav,3.5154185
FsCQmTluSDw.wav,3.5023947
ZoAfkpmztww.wav,3.4979222
BsVsoZ4ojp0.wav,3.4916198
fpVlYpgTKZI.wav,3.4881077
hPIh5RYA-5M.wav,3.4875593
vrxT5jhqu0Q.wav,3.4866335
XfLIbeSJSHE.wav,3.4840953
T_d82v2g93w.wav,3.4819596
0LLlcPiatiU.wav,3.478759
xLQF7S41XLE.wav,3.4750957
iQfPmJ19ZUc.wav,3.4726887
B_ohqOgK6T8.wav,3.4696963
ZHzhdhKEjMc.wav,3.4661026
d1nz5tZckSA.wav,3.4659297
Jcd63Ev7JXA.wav,3.4627295
C5MhO2HM2Wg.wav,3.45848
KCs_VPmsnKo.wav,3.4499333
WsDb16qzA5Q.wav,3.4309943
-bgHkxwoliw.wav,3.4275303
_43OOP6UEw0.wav,3.4078224
DQ_gcdLhAsY.wav,3.4022582
oSg1VJHiPOE.wav,3.3878841
1bSP4wLfMpA.wav,3.3845448
yi4-kGV30qs.wav,3.380931
682ODyTqKyw.wav,3.3799162
8m-a_6wLTkU.wav,3.3742235
dEc7tV30KJo.wav,3.3639152
